experiment_family,representative_assets,include_decision,paper_section,reason,required_before_submission,risk_if_used_directly
SHAP stability,reports/paper_evidence/shap_seed_stability_summary.csv; CalculateShapValues/NoAttention/TotalAnalysisGraphs,main_text,Attribution analysis,Directly supports channel/frequency attribution and multi-seed stability,Finalize top-k table and select publication-ready SHAP figure,Config/provenance caveat if presented as fully reproducible
PC-DAG dual-view,DAG/PC_DAG/Seed_49; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,main_text,Graph consistency audit,Central to frozen SHAP + dual-view PC-DAG audit topic,Freeze alpha/filtered/average setting and explain edge policy,Overclaiming edge direction would weaken paper
Strict consistency audit,reports/paper_evidence/consistency/strict_feature_to_label_consistency_table.csv,main_text,Graph consistency audit,Provides conservative strict feature_to_label evidence,State that strict support is sparse and case-study level,Sparse support cannot support broad causal-direction claim
Weak adjacency audit,reports/paper_evidence/consistency/adjacency_weak_consistency_table.csv,main_text,Graph consistency audit,Provides broader direction-neutral consistency/conflict screening,Use graph-consistency or adjacency wording only,Weak adjacency could be mistaken for causal direction
Shortcut-risk candidates,reports/paper_evidence/final_tables/table_shortcut_risk_candidates.csv,main_text,Case study / diagnostic logic audit,Directly supports high-SHAP graph-unsupported candidate screening,Select 1-2 clear cases and align SHAP + DAG assets,Candidate only; not confirmed shortcut
Underused graph-supported candidates,reports/paper_evidence/final_tables/table_underused_causal_candidates.csv,supplement,Case study / supplement,Useful secondary output of audit framework,Pick concise case if narrative needs it,Could distract if too many candidate types are foregrounded
Baseline diagnostic model,ModelTrain/NoAttention/SavedGraphs_6ch; ModelTrain/NoAttention/ConfusionAndF1; collaborator historical assets,main_text,Diagnostic baseline,Needed to show there is a trained diagnostic model before attribution,Recover collaborator numeric metrics or formally rerun after protocol freeze,Local crop-width eval is near-random diagnostic artifact and must not be used as result
Confusion matrix / F1 figures,ModelTrain/NoAttention/ConfusionAndF1; ModelTrain/AttentionAndNoAttention/ConfusionAndF1,supplement,Supplementary diagnostic behavior,Existing class-level figures can support model behavior details,Extract/generate structured classification report if included,Plot-only evidence is weak for main text
Attention comparison,ModelTrain/AttentionAndNoAttention/SavedGraphs; ChannelWeights; ConfusionAndF1,supplement,Supplement or discussion,Useful auxiliary comparison but not frozen main contribution,Recover metrics if used; keep concise,May shift story from SHAP-PC-DAG audit to attention model comparison
PC feature distribution,PC_Datasets/feature_distribution.png; PC_Datasets/feature_normalized_bar.png,supplement,Methods supplement,Helps explain PC input feature construction,Check figure readability and labels,Not enough for central claim alone
Cross-condition,ModelTrain/NoAttention/CrossCondTest; reports/reproducibility_audit/full_split_overlap_report.csv,limitation_or_risk_note,Limitations,Existing cross results have leakage risk and should not support robustness,Only mention as reason for not making robustness claim,Using directly would create credibility risk
GNN causal enhancement,GNNCausal/train_curves/GNN; GNNCausal/trained_models/GNN; reports/reproducibility_audit/gnn_risk_report.md,future_work,Future work,GNN exists but is outside frozen contribution and has implementation risks,Repair and rerun only in future sprint if revived,Would overextend paper and introduce unverified claims
CWRU external validation,CWRU/train_curves/GNN; CWRU/dag_figs; CWRU/trained_models/GNN,future_work,Future work or supplement,External validation assets exist but appear incomplete and GNN-centric,Need structured metrics and protocol before inclusion,Could weaken paper if added as plot-only unsupported validation
Noise / pure data,DAG/Noise; DAG/PureData; DAG/PolyCurves/Noise,future_work,Future robustness work,Assets suggest possible robustness experiments,Define formal robustness metrics before use,Cache/plot assets alone do not support robustness claim
Local crop-width-512 eval,reports/paper_evidence/baseline_metrics/baseline_metrics_paper_table.csv,limitation_or_risk_note,Reproducibility note,Only shows local provenance gap between current code/data/checkpoints,Keep in codex local repro gap note; do not cite as experimental result,Using as paper candidate would misrepresent collaborator historical results
