priority,followup_task,why_needed_for_paper,input_assets,implementation_scope,estimated_effort,expected_output,if_not_done_consequence,codex_can_do,requires_human_researcher
P0,Recover collaborator baseline numeric metrics,Main paper needs a trustworthy diagnostic baseline before attribution audit,ModelTrain/NoAttention figures; collaborator records; original logs if available,Search local/ask collaborator/export existing numeric tables if found,small_to_medium,condition-level mean/std accuracy F1 and classification report,Baseline claim remains figure-only and weaker,true,true
P0,If metrics cannot be recovered plan formal baseline rerun under frozen protocol,Needed only if collaborator numeric results are unavailable,wavelet protocol; training scripts; selected seeds,Do not run now; design exact command/config/result schema,medium_to_large,baseline metrics table with config snapshot and seeds,Main baseline section remains incomplete,true,true
P0,Freeze final attribution-graph consistency tables,Core contribution depends on clean strict/weak policy and selected cases,reports/paper_evidence/consistency; final_tables,Polish table labels and remove ambiguous causal wording,small,main audit table candidates ready for ChatGPT narrative,Paper story may overclaim or look scattered,true,false
P0,Select 1-2 main case studies,High-level paper story needs concrete examples,SHAP figures; DAG figures; shortcut/strict/underused tables,Choose cases and map required assets,small,case study shortlist with SHAP + DAG paths,Paper remains abstract and less convincing,true,true
P1,Extract structured classification reports from collaborator assets or logs,Supplement and baseline credibility need numeric class-level details,ConfusionAndF1 directories; possible hidden logs,Search/parse if available; otherwise plan rerun schema,small_to_medium,classification_report_long.csv from trusted source,Supplement remains plot-only,true,false
P1,Confirm PC-DAG edge export口径 and selected alpha,Ensures graph audit table matches figures,DAG/PC_DAG/Seed_49; pcdag_edges_long.csv; edge_policy_notes.md,Manual/code review of alpha/filter/orientation policy,small,one frozen PC-DAG evidence policy note,Reviewers may question graph direction/selection,true,true
P1,Beautify SHAP top-k stability table,Turns existing evidence into publication-ready table,shap_seed_stability_summary.csv; table_shap_stability_main.csv,Column rename rounding feature labels and conditions,small,clean Table 2 candidate,ChatGPT must do extra cleanup during writing,true,false
P1,Prepare publication figure source list and redraw requirements,Main figures need consistent style,selected_main_figures.csv; SHAP/DAG PNG/PDF assets,Collect source paths and mark redraw needs,small,figure production checklist,Figures may remain inconsistent,true,true
P2,Attention comparison numeric summary,Could support supplement but not central,ModelTrain/AttentionAndNoAttention figures caches checkpoints,Recover metrics or rerun later if desired,medium,supplementary attention vs no-attention table,Attention remains visual/background only,true,true
P2,CWRU external validation cleanup,External validation could improve paper but is not required for main logic audit,CWRU train curves/dag figs/models,Find metrics and protocol or plan rerun,medium_to_large,CWRU supplement table or future-work exclusion decision,External validation absent or weak,true,true
P2,Noise or missing-channel robustness plan,Robustness can strengthen application angle but not central,DAG/Noise; DAG/PureData; ModelTrain variants,Design metrics without executing now,medium,optional robustness experiment protocol,Paper remains focused but less robust,true,true
P2,GNN repair and verification,Only needed if future work becomes second paper or supplement,GNNCausal assets; gnn_risk_report.md,Fix classifier/scaler risks and rerun later,large,verified GNN result table,GNN cannot be claimed,true,true
optional,Repository evidence manifest cleanup,Reduces confusion between collaborator assets and local diagnostics,reports/paper_evidence; reports/paper_planning,Update manifests after high-level decisions,small,clean planning/evidence index,Future agents may follow stale crop-width trail,true,false
