paper_item_id,paper_item_type,proposed_title_or_role,source_assets,data_tables,figure_assets,condition_or_scope,view,current_status,paper_use_status,blocking_issue,required_before_stage3,required_before_submission,owner,notes
FIG1,main_figure,Wavelet-CNN-SHAP-dual-view PC-DAG audit workflow,docs/EXPERIMENTS_LOGIC_AND_SCI_STORYLINE.md; reports/deep_research_handoff/01_author_contribution_reconstruction.md,reports/stage2_evidence_lock/04_checkpoint_shap_pcdag_provenance_map.csv,to_draw_by_author_or_ChatGPT_storyboard,all,pipeline,locked_ready,main_text_candidate,,none; can storyboard now,align wording with 09_claim_wording_control.md,ChatGPT + human researcher,No algorithm rerun needed.
FIG2,main_figure,SHAP channel/frequency attribution across SEU conditions,CalculateShapValues/NoAttention/TotalAnalysisGraphs/*.png,reports/paper_evidence/shap_seed_stability_summary.csv; reports/paper_evidence/final_tables/table_shap_stability_main.csv,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_All_Conditions_Channel.png; CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_All_Conditions_Frequency.png,four SEU conditions,channel/frequency,provisional_needs_human_confirmation,main_text_candidate,SHAP cache provenance/config snapshot not fully explicit.,can storyboard with provenance caveat,confirm SHAP caches are final collaborator outputs,human researcher,Do not recompute SHAP in this sprint.
FIG3,main_figure,Dual-view PC-DAG examples,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/*.png,reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv; reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,selected average filtered channel/frequency DAGs,four SEU conditions,channel/frequency,provisional_needs_human_confirmation,main_text_candidate,"Final alpha, filtered/original, average/seed policy needs lock.",use candidate setting only,author confirms PC-DAG setting policy,human researcher,Recommended wording treats graph as audit structure.
FIG4,main_figure,Attribution-graph consistency/conflict case study,reports/deep_research_handoff/04_main_case_study_asset_pack.csv,reports/paper_evidence/consistency/strict_feature_to_label_consistency_table.csv; reports/paper_evidence/consistency/adjacency_weak_consistency_table.csv,SHAP condition figures + selected PC-DAG panels,selected cases,channel/frequency,provisional_needs_human_confirmation,main_text_candidate,Case selection should be confirmed; shortcut wording must be conservative.,select 3-5 cases for storyboard,author confirms case choices,ChatGPT + human researcher,Use strict/weak distinction.
TBL1,main_table,Baseline diagnostic performance status,ModelTrain/NoAttention plots/checkpoints; collaborator files needed,reports/stage2_evidence_lock/03_baseline_numeric_metrics_status.csv,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/*.png,four SEU conditions,diagnosis,blocked_needs_collaborator_confirmation,blocked_for_final_results,Trusted original numeric baseline metrics missing locally.,can draft placeholder/status table,must recover original numeric metrics or rerun a confirmed protocol,human researcher/collaborator,Local crop-width-512 metrics are not paper evidence.
TBL2,main_table,SHAP top-k stability,CalculateShapValues/NoAttention,reports/paper_evidence/final_tables/table_shap_stability_main.csv,CalculateShapValues/NoAttention/TotalAnalysisGraphs/*.png,four SEU conditions,channel/frequency,provisional_needs_human_confirmation,main_text_candidate,Need author confirmation of SHAP cache provenance.,none for storyboard,cache provenance confirmation,human researcher,
TBL3,main_table,Strict and weak attribution-graph consistency audit,reports/paper_evidence/pcdag_edges; reports/paper_evidence/consistency,strict_feature_to_label_consistency_table.csv; adjacency_weak_consistency_table.csv; consistency_summary.csv,selected SHAP + PC-DAG panels,four SEU conditions,channel/frequency,locked_ready,main_text_candidate_with_conservative_wording,None for audit framing; setting confirmation still needed for final figure lock.,none,confirm PC-DAG setting policy,Codex/ChatGPT/human researcher,Only feature_to_label is strict support.
SUP1,supplement,Confusion/F1 plots and training curves,ModelTrain/NoAttention,reports/stage2_evidence_lock/03_baseline_numeric_metrics_status.csv,ModelTrain/NoAttention/ConfusionAndF1; ModelTrain/NoAttention/SavedGraphs_6ch,SEU,diagnosis,supplement_only,supplement_after_metric_confirmation,plot-only locally,none,numeric metric recovery,human researcher,
SUP2,supplement,Attention/no-attention comparison,ModelTrain/AttentionAndNoAttention,missing original numeric table,ModelTrain/AttentionAndNoAttention/SavedGraphs/*.png,SEU,attention support,supplement_only,not_core,not required for frozen mainline,none,only if supplement retained,ChatGPT decision,Do not convert into main contribution.
SUP3,supplement_or_future,GNN/CWRU/cross-condition branches,GNNCausal; CWRU; ModelTrain/NoAttention/CrossCondTest,reports/reproducibility_audit/gnn_risk_report.md; full_split_overlap_report.csv,GNN/CWRU curves; Cross_condition_acc_comparison.png,support branches,optional,future_work_only,do_not_use_as_main_claim,GNN implementation risk; CWRU metric gap; cross split leakage.,none,only if explicitly retained as supplement/limitation,ChatGPT + human researcher,Keep out of core contribution.
