priority,experiment_or_task,scientific_purpose,why_needed_for_sci,existing_foundation,implementation_entry_points,expected_outputs,estimated_effort,risk,if_not_done_consequence,codex_can_execute_later,requires_human_or_collaborator_input
P0,Recover collaborator baseline numeric metrics,Establish trustworthy diagnostic baseline context,High-level journal reviewers will expect performance context before explanation/audit,"ModelTrain/NoAttention curves, checkpoints, confusion/F1 figures",Search local logs; ask collaborator; parse original result exports if found,condition-level accuracy/F1 mean/std and classification reports,small-to-medium,metrics may be unavailable,Baseline remains plot-only and weaker,true,true
P0,Formal baseline rerun if original metrics cannot be recovered,Produce trusted metrics under frozen protocol,Needed if baseline table is required and collaborator metrics absent,training scripts and wavelet data contract,Define protocol first; do not run in current phase,"metrics table, config snapshot, seed list, git hash",medium-to-large,data/provenance mismatch must be resolved first,Paper needs caveated or delayed baseline table,true,true
P0,Freeze SHAP + PC-DAG consistency main table,Lock main evidence for audit contribution,Central contribution must be clean and conservative,"SHAP stability, PC-DAG edges, strict/weak tables","Finalize columns, labels, selected top-k policy",publication-ready Table 2/3,small,overly complex table could confuse,ChatGPT lacks stable evidence skeleton,true,false
P0,Select main case study,Provide concrete narrative example,"SCI paper needs interpretable case, not only aggregate tables",04_main_case_study_asset_pack.csv,Choose strict/weak/shortcut/underused cases,final case shortlist with figure assets,small,case choice may need human taste,Story remains abstract,true,true
P0,Clarify PC-DAG edge policy,Prevent causal overclaim,Causal claims must be defensible,edge_policy_notes.md; pcdag_direction_sanity_report.md,Freeze wording: strict feature_to_label vs weak adjacency,methods note and supplement policy table,small,reviewers may challenge PC-DAG direction,Causal story becomes risky,true,true
P1,Numerical classification reports,Support baseline/confusion figures,Supplement needs structured metrics,"ConfusionAndF1 figures, checkpoints/logs",Recover existing table or plan formal export,classification_report_long.csv from trusted source,small-to-medium,may require original data protocol,F1 evidence remains plot-only,true,false
P1,SHAP top-k table polishing,Make attribution evidence manuscript-ready,Improves readability and claim clarity,shap_seed_stability_summary.csv,"Rename/round columns, map feature labels, add interpretation labels",clean Table 2 candidate,small,none significant,Manual cleanup later,true,false
P1,Redraw selected PC-DAG figures,Make graph evidence publication-quality,Current figures may be busy/inconsistent,selected DAG PNG/PDF assets,"Prepare figure spec, not rerun PC-KCI unless later requested",clean Fig. 3 panels,medium,requires style/design decision,Figures may look exploratory,true,true
P1,Attention comparison numeric整理,Optional supplement and discussion,May help explain why no-attention is audited,AttentionAndNoAttention assets,Recover or export metrics later,supplementary table,medium,could distract main story,Attention remains background only,true,true
P1,Config/provenance manifest,Improve reproducibility narrative,High-level journal expects traceability,existing scripts and reports,"Record data version, input width, checkpoint, seed, SHAP and PC settings",manifest CSV/MD,small-to-medium,some historical details missing,Methods section remains caveated,true,true
P2,CWRU external validation,Assess transfer to public bearing dataset,Could strengthen SCI evidence if clean,CWRU assets,Recover metrics or design rerun,external validation table,medium-to-large,currently GNN-centric/incomplete,Paper lacks external validation,true,true
P2,Noise robustness,Test audit stability under noise,Robustness improves application relevance,DAG/Noise; DAG/PolyCurves/Noise,Design formal robustness protocol,noise sensitivity table,medium,new experiment not current phase,Robustness claim omitted,true,true
P2,Missing channel / sensor failure,Evaluate practical sensor degradation,Rotating machinery deployments face sensor loss,channel ablation assets; model variants,Design formal missing-channel test,robustness table,medium,requires protocol and metrics,Application claim weaker,true,true
P2,GNN repair and validation,Test reliable-edge extension,Only needed if GNN becomes future paper/support,GNNCausal assets and risk report,Fix/verify algorithm then rerun later,trusted GNN metrics,large,implementation risk,GNN remains future work,true,true
P2,Clean cross-condition rerun,Support limited robustness claim,Could strengthen paper if leakage-free,CrossCondTest scripts and split audit,Define clean split first,cross-condition metrics with no overlap,large,data protocol risk,Cross-condition remains limitation only,true,true
