case_id,case_type,condition,view,feature_name,shap_rank_or_importance_summary,graph_support_type,strict_or_weak,related_table_rows,shap_figure_candidates,dag_figure_candidates,paper_claim_supported,why_this_case_is_useful,risk_or_caveat,recommended_use
CASE01,strict_consistent_case,Bearing_30_2,frequency,cD2,mean_rank=1.0; high SHAP; topk_frequency=1.0,feature_to_label strict support,strict,strict table: high_shap_strict_causal_support,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Bearing_30_2.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Bearing_30_2_freq.png,High attribution feature with strict PC-DAG support,Best strict positive case; useful to show that attribution can align with graph support.,Strict support is sparse; do not generalize to all high-SHAP features.,main case candidate
CASE02,weak_adjacency_consistent_case,Bearing_20_0,frequency,cD2,mean_rank=1.0; high SHAP; topk_frequency=1.0,weak_label_adjacency_only,weak,weak table: high_shap_with_label_adjacency,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Bearing_20_0.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Bearing_20_0_freq.png,High attribution feature has label-related graph adjacency without directional claim,Useful to explain weak adjacency layer.,No strict feature_to_label support; avoid causal-direction wording.,main or supplement case candidate
CASE03,weak_adjacency_consistent_case,Bearing_20_0,frequency,cD3,mean_rank=2.0; high SHAP; topk_frequency=1.0,weak_label_adjacency_only,weak,weak table: high_shap_with_label_adjacency,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Bearing_20_0.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Bearing_20_0_freq.png,High SHAP plus weak graph adjacency,Pairs naturally with cD2 to show frequency-view audit.,Weak adjacency only.,supplement case
CASE04,shortcut_risk_candidate,Gear_20_0,channel,ch8,mean_rank=1.4; high SHAP,no_label_adjacency,weak negative,shortcut table: weak_shortcut_risk_candidate,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Gear_20_0.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Gear_20_0_ch.png,High-attribution but graph-unsupported shortcut-risk candidate,Strong candidate because both strict direction and weak adjacency are absent.,Candidate only; not a confirmed shortcut.,main Fig. 4 candidate
CASE05,shortcut_risk_candidate,Gear_20_0,frequency,cD4,mean_rank=2.0; high SHAP,no_label_adjacency,weak negative,shortcut table: weak_shortcut_risk_candidate,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Gear_20_0.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Gear_20_0_freq.png,High-attribution but graph-unsupported frequency shortcut-risk candidate,Useful if frequency-view case is preferred over channel-view case.,Candidate only; no intervention confirmation.,main or supplement case
CASE06,shortcut_risk_candidate,Gear_30_2,frequency,cD2,mean_rank=1.0; high SHAP,no strict feature_to_label support but weak adjacency exists,strict negative / weak positive,shortcut table: strict_shortcut_risk_candidate; weak adjacency table,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Gear_30_2.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Gear_30_2_freq.png,Strictly unsupported high SHAP feature,Shows why strict and weak policies differ.,Not as strong a shortcut candidate because weak adjacency exists.,supplement case
CASE07,underused_graph_supported_candidate,Bearing_20_0,channel,ch3,low SHAP; mean_rank=4.2,strict_feature_to_label_support,strict,underused table: strict_underused_graph_supported_candidate,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Bearing_20_0.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Bearing_20_0_ch.png,Low-attribution feature with strict graph support,Useful to show model may underuse graph-supported channel.,Underused is a candidate interpretation.,secondary main or supplement case
CASE08,underused_graph_supported_candidate,Bearing_20_0,channel,ch7,low SHAP; mean_rank=5.0,strict_feature_to_label_support,strict,underused table: strict_underused_graph_supported_candidate,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Bearing_20_0.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Bearing_20_0_ch.png,Low-attribution feature with strict graph support,Second channel-view strict underused case.,May be redundant with ch3.,supplement case
CASE09,underused_graph_supported_candidate,Bearing_30_2,frequency,cD5,low SHAP; strict support,strict_feature_to_label_support,strict,underused table: strict_underused_graph_supported_candidate,CalculateShapValues/NoAttention/TotalAnalysisGraphs/SHAP_Bearing_30_2.png,DAG/PC_DAG/Seed_49/filtered/Significance_0.001/average/Bearing_30_2_freq.png,Low-attribution frequency feature with strict graph support,Pairs with Bearing_30_2/cD2 to show high and low SHAP strict support in one condition.,Needs careful explanation.,supplement case
CASE10,negative_or_limitation_case,cross-condition,generalization,not_applicable,not_applicable,split overlap risk,limitation,full_split_overlap_report.csv; CrossCondTest figure,not_applicable,not_applicable,Cross-condition evidence cannot support strong robustness,Prevents overclaiming and shows honest limitation.,Do not frame as positive result.,limitation note
