decision_id,evidence_or_claim,current_decision,rationale,supporting_assets,blocking_issue,needed_confirmation,owner,deadline_relevance,notes
D01,Mainline = SHAP attribution + dual-view PC-DAG audit,locked,Matches strongest existing assets and high-level strategy freeze.,CalculateShapValues; PC_Datasets; DAG/PC_DAG; reports/paper_evidence/consistency,,Confirm no late pivot to performance/GNN paper.,ChatGPT/human researcher,Stage3 can start,
D02,Do not make GNN a main contribution,locked,GNN branch has implementation-risk audit and is not needed for the frozen mainline.,GNNCausal; reports/reproducibility_audit/gnn_risk_report.md,,None unless human researcher reopens branch.,ChatGPT,Prevents scope creep,
D03,Do not use cross-condition as strong robustness claim,locked,Local audit found split overlap/exact duplicate risk.,reports/reproducibility_audit/full_split_overlap_report.csv,,Only whether to mention as limitation/supplement.,ChatGPT,Manuscript claim control,
D04,CWRU branch not core,locked,CWRU has curves/checkpoints but no paper-ready trusted metric table locally.,CWRU/train_curves; CWRU/trained_models,,Only if collaborator supplies metrics and ChatGPT wants supplement.,ChatGPT/human researcher,Optional after main story,
D05,Baseline numeric performance table,blocked,Trusted collaborator original numeric metrics are missing locally.,ModelTrain/NoAttention plots/checkpoints,Need accuracy/F1/report with seed/config/split provenance.,Collaborator should provide original metrics or confirmed rerun protocol.,human researcher/collaborator,Blocks final Results section,Local crop512 table is diagnostic-only.
D06,Local crop-width-512 metrics,discarded,Human researcher explicitly stopped this route; results are provenance diagnostic only.,reports/paper_evidence/baseline_metrics/baseline_metrics_paper_table.csv,,None.,Codex,Avoids false negative baseline story,Do not cite as paper evidence.
D07,SHAP attribution figures/tables,provisional,"Strong existing local assets, multi-seed summaries present.",CalculateShapValues/NoAttention; shap_seed_stability_summary.csv,Need cache/checkpoint/config provenance confirmation.,Author confirms caches are final intended outputs.,human researcher,Needed before submission,
D08,Dual-view PC-DAG figures,provisional,Existing figures and exported edge tables support audit story.,DAG/PC_DAG; pcdag_edges_long.csv; pcdag_edge_label_summary.csv,Need alpha/filter/average/seed policy lock.,Author confirms final PC-DAG setting.,human researcher,Needed before final figures,
D09,Strict feature_to_label edge interpretation,locked,Conservative direction policy avoids overclaiming.,strict_feature_to_label_consistency_table.csv,,Confirm with author but safe as wording baseline.,Codex/ChatGPT,Core claim wording,
D10,label_to_feature and undirected edges,locked,"Use as weak adjacency only, not strong causal evidence.",adjacency_weak_consistency_table.csv; pcdag_edge_label_summary.csv,,None.,Codex/ChatGPT,Core claim wording,
D11,Shortcut-risk language,locked,"Evidence supports candidate risk flags, not confirmed shortcuts.",consistency tables; case study pack,,Human researcher confirms case wording.,ChatGPT/human researcher,Manuscript safety,
D12,Attribution-graph consistency table,locked,Local table directly joins SHAP and PC-DAG evidence.,strict_feature_to_label_consistency_table.csv; adjacency_weak_consistency_table.csv; consistency_summary.csv,,Confirm table design fits final story.,ChatGPT,Stage3 storyboard,
D13,Case study candidates,provisional,10 cases indexed from existing evidence; selected subset needed.,reports/stage2_evidence_lock/07_case_study_lock_candidates.csv,Need final choice and figure style.,ChatGPT selects; human researcher confirms.,ChatGPT/human researcher,Stage3 figure plan,
D14,Attention comparison,supplement_only,Existing assets may support discussion but not frozen main claim.,ModelTrain/AttentionAndNoAttention,Numeric metrics missing locally.,Only retain if collaborator metrics are available.,ChatGPT,Optional,
D15,Physical prior/filtered/original PC-DAG ablation,provisional,"Assets exist, but role is not locked.",DAG/PC_DAG/GearBox_PC_DAG_physical_prior.png; DAG/PC_DAG/*filtered*,Need decide whether ablation is necessary or only method note.,ChatGPT/human researcher decision.,ChatGPT,Before final method/result details,
D16,Stage 3 can start before all confirmations,locked,"Storyline, storyboard, and claim boundaries are sufficiently clear.",reports/stage2_evidence_lock,Final Results table waits for collaborator metrics and PC-DAG setting confirmation.,Proceed with clear placeholders.,ChatGPT,Immediate next step,
