result_id,result_family,asset_path,condition,dataset,model_or_method,view,seed_or_setting,metric_or_content,numeric_value_or_summary,result_form,is_original_collaborator_result,is_later_extraction_or_diagnostic,paper_use_status,known_caveat,notes
R001,wavelet_dataset,wavelet_dataset/*.npz,four SEU conditions,SEU,angle resampling + SWT/db4 wavelet,multichannel wavelet tensor,data preprocessing,wavelet tensor files,4 condition npz files; current local width 1024,large_npz_data,true,false,planning_reference,large local data not versioned; split/provenance caveats,"Use as method premise, not as direct paper table."
R002,baseline_training_curves,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_*,four SEU conditions,SEU,NoAttention CNN 6ch,diagnostic baseline,Seed_42/49/56/63/70 visible,training/test curves,plot-only collaborator assets,png_figures,true,false,needs_collaborator_numeric_confirmation,no trusted structured metrics indexed,Needed for baseline context; do not substitute crop-width diagnostic numbers.
R003,confusion_f1,ModelTrain/NoAttention/ConfusionAndF1/Seed_49,four SEU conditions,SEU,NoAttention CNN 6ch,class-level diagnosis,Seed_49,confusion matrix and F1 figures,plot-only; classification report table missing,png_figures,true,false,supplement_candidate,plot-only evidence,Use in supplement after numeric report recovery.
R004,shap_rank_summary,reports/paper_evidence/shap_rank_summary.csv,four SEU conditions,SEU,NoAttention CNN + SHAP,channel/frequency,5 seeds,per-seed SHAP rank,220 rows,csv_table,false,true,main_candidate,derived from collaborator SHAP cache,Extraction table supports stability and rank interpretation.
R005,shap_seed_stability,reports/paper_evidence/shap_seed_stability_summary.csv,four SEU conditions,SEU,NoAttention CNN + SHAP,channel/frequency,5 seeds,"mean importance, mean rank, top-k frequency",44 rows; top-k frequency uses rank<=3,csv_table,false,true,main_candidate,source SHAP cache lacks full config manifest,Best current table for attribution stability.
R006,shap_figures,CalculateShapValues/NoAttention/TotalAnalysisGraphs,four SEU conditions,SEU,NoAttention CNN + SHAP,channel/frequency,total analysis,SHAP attribution plots,all-condition and per-condition SHAP figures,png_figures,true,false,main_candidate,may need publication redraw,Candidate Fig. 2 material.
R007,pc_dataset,PC_Datasets/Seed_49; PC_Datasets/average,four SEU conditions,SEU,SHAP-weighted PC input,channel/frequency,Seed_49 and average,feature-label CSVs,8 condition-view CSVs plus average variants,csv_tables,true,false,main_candidate,generation contract should be documented,Method bridge from SHAP to PC-DAG.
R008,pcdag_edges,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,four SEU conditions,SEU,PC-KCI PC-DAG,channel/frequency,Seed_49 and average; alpha 0.05,edge export,"159 total edges; 31 label-related; relations {'not_label_related': 128, 'feature_to_label': 4, 'label_to_feature': 22, 'undirected_with_label': 5}",csv_table,false,true,main_candidate,direction policy must be conservative,Use only feature_to_label as strict directional support.
R009,pcdag_figures,DAG/PC_DAG/Seed_49,four SEU conditions,SEU,PC-KCI PC-DAG,channel/frequency,multiple alpha settings; filtered/original; average variants,PC-DAG figures,figure directories exist for channel/frequency PC-DAGs,png_figures,true,false,main_candidate,final alpha/filtered setting must be frozen,Candidate Fig. 3 material.
R010,strict_consistency,reports/paper_evidence/consistency/strict_feature_to_label_consistency_table.csv,four SEU conditions,SEU,SHAP + PC-DAG audit,channel/frequency,top-k=2 strict policy,strict consistency types,"{'low_shap_without_strict_causal_support': 32, 'low_shap_with_strict_causal_support_underused_feature': 3, 'high_shap_without_strict_causal_support_potential_shortcut': 8, 'high_shap_strict_causal_support': 1}",csv_table,false,true,main_candidate,strict support sparse,Strongest directional-support layer.
R011,weak_adjacency,reports/paper_evidence/consistency/adjacency_weak_consistency_table.csv,four SEU conditions,SEU,SHAP + PC-DAG audit,channel/frequency,top-k=2 weak adjacency policy,adjacency support levels,"{'no_label_adjacency': 18, 'strict_directed_support': 4, 'weak_label_adjacency_only': 22}",csv_table,false,true,main_candidate,weak adjacency is not causal direction,Broad graph-consistency/conflict audit layer.
R012,shortcut_candidates,reports/paper_evidence/final_tables/table_shortcut_risk_candidates.csv,four SEU conditions,SEU,SHAP + PC-DAG audit,channel/frequency,derived from strict and weak consistency,high-SHAP graph-unsupported candidates,"10 rows; {'strict_shortcut_risk_candidate': 8, 'weak_shortcut_risk_candidate': 2}",csv_table,false,true,main_candidate,"candidate only, not confirmed shortcut",Candidate Fig. 4 case source.
